id,timestamp,parameterValue,parameterUnits
64403947,08/16/2018 01:00,761.8,mmHg
64404360,08/16/2018 01:15,761.8,mmHg
64404689,08/16/2018 01:15,761.8,mmHg
64404690,08/16/2018 01:30,761.8,mmHg
64405213,08/16/2018 01:45,761.8,mmHg
64404935,08/16/2018 01:45,761.8,mmHg
64405214,08/16/2018 02:00,762.1,mmHg
64407832,08/16/2018 02:15,762.1,mmHg
64407833,08/16/2018 02:30,762.1,mmHg
64407834,08/16/2018 02:45,762.1,mmHg
64407835,08/16/2018 03:00,762.2,mmHg
64407836,08/16/2018 03:15,762.2,mmHg
64407837,08/16/2018 03:30,762.2,mmHg
64407838,08/16/2018 03:45,762.2,mmHg
64407839,08/16/2018 04:00,762.5,mmHg
64407840,08/16/2018 04:15,762.5,mmHg
64407841,08/16/2018 04:30,762.5,mmHg
64407842,08/16/2018 04:45,762.5,mmHg
64408525,08/16/2018 05:00,762.6,mmHg
64408247,08/16/2018 05:00,762.6,mmHg
64408526,08/16/2018 05:15,762.6,mmHg
64409056,08/16/2018 05:30,762.6,mmHg
64408778,08/16/2018 05:30,762.6,mmHg
64409057,08/16/2018 05:45,762.6,mmHg
64409618,08/16/2018 06:00,762.8,mmHg
64410786,08/16/2018 06:00,762.8,mmHg
64411819,08/16/2018 06:00,762.8,mmHg
64410082,08/16/2018 06:00,762.8,mmHg
64409871,08/16/2018 06:00,762.8,mmHg
64409353,08/16/2018 06:00,762.8,mmHg
64411038,08/16/2018 06:00,762.8,mmHg
64410525,08/16/2018 06:00,762.8,mmHg
64411381,08/16/2018 06:00,762.8,mmHg
64410366,08/16/2018 06:00,762.8,mmHg
64411508,08/16/2018 06:00,762.8,mmHg
64412021,08/16/2018 06:00,762.8,mmHg
64412022,08/16/2018 06:15,762.8,mmHg
64412023,08/16/2018 06:30,762.8,mmHg
64412024,08/16/2018 06:45,762.8,mmHg
64412025,08/16/2018 07:00,763,mmHg
64412026,08/16/2018 07:15,763,mmHg
64412027,08/16/2018 07:30,763,mmHg
64412028,08/16/2018 07:45,763,mmHg
64412029,08/16/2018 08:00,763.8,mmHg
64412030,08/16/2018 08:15,763.8,mmHg
64412031,08/16/2018 08:30,763.8,mmHg
64412032,08/16/2018 08:45,763.8,mmHg
64412732,08/16/2018 09:00,764.1,mmHg
64412479,08/16/2018 09:00,764.1,mmHg
64412733,08/16/2018 09:15,764.1,mmHg
64415143,08/16/2018 09:30,764.1,mmHg
64415144,08/16/2018 09:45,764.1,mmHg
64415145,08/16/2018 10:00,764.5,mmHg
64415146,08/16/2018 10:15,764.5,mmHg
64415147,08/16/2018 10:30,764.5,mmHg
64415148,08/16/2018 10:45,764.5,mmHg
64415149,08/16/2018 11:00,764.6,mmHg
64415150,08/16/2018 11:15,764.6,mmHg
64415151,08/16/2018 11:30,764.6,mmHg
64415152,08/16/2018 11:45,764.6,mmHg
64415723,08/16/2018 12:00,764.7,mmHg
64415557,08/16/2018 12:00,764.7,mmHg
64415724,08/16/2018 12:15,764.7,mmHg
64416211,08/16/2018 12:30,764.7,mmHg
64416045,08/16/2018 12:30,764.7,mmHg
64416212,08/16/2018 12:45,764.7,mmHg
64419707,08/16/2018 13:00,764.6,mmHg
64419708,08/16/2018 13:15,764.6,mmHg
64419709,08/16/2018 13:30,764.6,mmHg
64419710,08/16/2018 13:45,764.6,mmHg
64419711,08/16/2018 14:00,764.6,mmHg
64419712,08/16/2018 14:15,764.6,mmHg
64419713,08/16/2018 14:30,764.6,mmHg
64419714,08/16/2018 14:45,764.6,mmHg
64419715,08/16/2018 15:00,764.4,mmHg
64419716,08/16/2018 15:15,764.4,mmHg
64419717,08/16/2018 15:30,764.4,mmHg
64420398,08/16/2018 15:45,764.4,mmHg
64420153,08/16/2018 15:45,764.4,mmHg
64420399,08/16/2018 16:00,764.4,mmHg
64420903,08/16/2018 16:15,764.4,mmHg
64420687,08/16/2018 16:15,764.4,mmHg
64420904,08/16/2018 16:30,764.4,mmHg
64421453,08/16/2018 16:45,764.4,mmHg
64421130,08/16/2018 16:45,764.4,mmHg
64421454,08/16/2018 17:00,764.3,mmHg
64423814,08/16/2018 17:15,764.3,mmHg
64423815,08/16/2018 17:30,764.3,mmHg
64423816,08/16/2018 17:45,764.3,mmHg
64423817,08/16/2018 18:00,763.8,mmHg
64423818,08/16/2018 18:15,763.8,mmHg
64423819,08/16/2018 18:30,763.8,mmHg
64423820,08/16/2018 18:45,763.8,mmHg
64423821,08/16/2018 19:00,763.2,mmHg
64423822,08/16/2018 19:15,763.2,mmHg
64423823,08/16/2018 19:30,763.2,mmHg
64424471,08/16/2018 19:45,763.2,mmHg
64424203,08/16/2018 19:45,763.2,mmHg
64424472,08/16/2018 20:00,763.3,mmHg
64425226,08/16/2018 20:15,763.3,mmHg
64424698,08/16/2018 20:15,763.3,mmHg
64425227,08/16/2018 20:30,763.3,mmHg
64428057,08/16/2018 20:45,763.3,mmHg
64428058,08/16/2018 21:00,763.4,mmHg
64428059,08/16/2018 21:15,763.4,mmHg
64428060,08/16/2018 21:30,763.4,mmHg
64428061,08/16/2018 21:45,763.4,mmHg
64428062,08/16/2018 22:00,763.7,mmHg
64428063,08/16/2018 22:15,763.7,mmHg
64428064,08/16/2018 22:30,763.7,mmHg
64428065,08/16/2018 22:45,763.7,mmHg
64428066,08/16/2018 23:00,763.8,mmHg
64428067,08/16/2018 23:15,763.8,mmHg
64428068,08/16/2018 23:30,763.8,mmHg
64430842,08/16/2018 23:45,763.8,mmHg
64430843,08/17/2018 00:00,763.9,mmHg
64430844,08/17/2018 00:15,763.9,mmHg
64430845,08/17/2018 00:30,763.9,mmHg
64430846,08/17/2018 00:45,763.9,mmHg
64430847,08/17/2018 01:00,764.1,mmHg
64430848,08/17/2018 01:15,764.1,mmHg
64430849,08/17/2018 01:30,764.1,mmHg
64430850,08/17/2018 01:45,764.1,mmHg
64430851,08/17/2018 02:00,764,mmHg
64430852,08/17/2018 02:15,764,mmHg
64432209,08/17/2018 02:30,764,mmHg
64433713,08/17/2018 02:30,764,mmHg
64432655,08/17/2018 02:30,764,mmHg
64431442,08/17/2018 02:30,764,mmHg
64431938,08/17/2018 02:30,764,mmHg
64431290,08/17/2018 02:30,764,mmHg
64433509,08/17/2018 02:30,764,mmHg
64431735,08/17/2018 02:30,764,mmHg
64432895,08/17/2018 02:30,764,mmHg
64432421,08/17/2018 02:30,764,mmHg
64433714,08/17/2018 02:45,764,mmHg
64433715,08/17/2018 03:00,764.1,mmHg
64433716,08/17/2018 03:15,764.1,mmHg
64433717,08/17/2018 03:30,764.1,mmHg
64433718,08/17/2018 03:45,764.1,mmHg
64433719,08/17/2018 04:00,764.1,mmHg
64433720,08/17/2018 04:15,764.1,mmHg
64433721,08/17/2018 04:30,764.1,mmHg
64433722,08/17/2018 04:45,764.1,mmHg
64433723,08/17/2018 05:00,764.2,mmHg
64436487,08/17/2018 05:15,764.2,mmHg
64436488,08/17/2018 05:30,764.2,mmHg
64436489,08/17/2018 05:45,764.2,mmHg
64436490,08/17/2018 06:00,764.3,mmHg
