Date, Time, Voltage
8/22/2018,5:58:54,2.28
8/22/2018,5:58:59,2.27
8/22/2018,5:59:04,2.29
8/22/2018,5:59:09,2.27
8/22/2018,5:59:14,2.29
8/22/2018,5:59:19,2.27
8/22/2018,5:59:24,2.28
8/22/2018,5:59:29,2.28
8/22/2018,5:59:34,2.28
8/22/2018,5:59:39,2.29
8/22/2018,5:59:44,2.27
8/22/2018,5:59:49,2.3
8/22/2018,5:59:54,2.29
8/22/2018,5:59:59,2.28
8/22/2018,6:00:04,2.28
8/22/2018,6:00:09,2.28
8/22/2018,6:00:14,2.28
8/22/2018,6:00:19,2.28
8/22/2018,6:00:24,2.28
8/22/2018,6:00:29,2.28
8/22/2018,6:00:34,2.28
8/22/2018,6:00:39,2.29
8/22/2018,6:00:44,2.28
8/22/2018,6:00:49,2.28
8/22/2018,6:00:54,2.29
8/22/2018,6:00:59,2.3
8/22/2018,6:01:04,2.29
8/22/2018,6:01:09,2.3
8/22/2018,6:01:14,2.29
8/22/2018,6:01:19,2.29
8/22/2018,6:01:24,2.29
8/22/2018,6:01:29,2.28
8/22/2018,6:01:34,2.29
8/22/2018,6:01:39,2.28
8/22/2018,6:01:44,2.27
8/22/2018,6:01:49,2.29
8/22/2018,6:01:54,2.3
8/22/2018,6:01:59,2.29
8/22/2018,6:02:04,2.27
8/22/2018,6:02:09,2.28
8/22/2018,6:02:14,2.29
8/22/2018,6:02:19,2.29
8/22/2018,6:02:24,2.28
8/22/2018,6:02:29,2.29
8/22/2018,6:02:34,2.29
8/22/2018,6:02:39,2.3
8/22/2018,6:02:44,2.28
8/22/2018,6:02:49,2.29
8/22/2018,6:02:54,2.29
8/22/2018,6:02:59,2.29
8/22/2018,6:03:04,2.3
8/22/2018,6:03:09,2.28
8/22/2018,6:03:14,2.29
8/22/2018,6:03:19,2.28
8/22/2018,6:03:24,2.29
8/22/2018,6:03:29,2.3
8/22/2018,6:03:34,2.29
8/22/2018,6:03:39,2.29
8/22/2018,6:03:44,2.3
8/22/2018,6:03:49,2.28
8/22/2018,6:03:54,2.29
8/22/2018,6:03:59,2.28
8/22/2018,6:04:04,2.3
8/22/2018,6:04:09,2.3
8/22/2018,6:04:14,2.28
8/22/2018,6:04:19,2.29
8/22/2018,6:04:24,2.28
8/22/2018,6:04:29,2.3
8/22/2018,6:04:34,2.29
8/22/2018,6:04:39,2.3
8/22/2018,6:04:44,2.3
8/22/2018,6:04:49,2.28
8/22/2018,6:04:54,2.29
8/22/2018,6:04:59,2.29
8/22/2018,6:05:04,2.3
8/22/2018,6:05:09,2.29
8/22/2018,6:05:14,2.29
8/22/2018,6:05:19,2.3
8/22/2018,6:05:24,2.3
8/22/2018,6:05:29,2.29
8/22/2018,6:05:34,2.29
8/22/2018,6:05:39,2.29
8/22/2018,6:05:44,2.29
8/22/2018,6:05:49,2.29
8/22/2018,6:05:54,2.3
8/22/2018,6:05:59,2.29
8/22/2018,6:06:04,2.3
8/22/2018,6:06:09,2.29
8/22/2018,6:06:14,2.3
8/22/2018,6:06:19,2.29
8/22/2018,6:06:24,2.3
8/22/2018,6:06:29,2.29
8/22/2018,6:06:34,2.3
8/22/2018,6:06:39,2.29
8/22/2018,6:06:44,2.29
8/22/2018,6:06:49,2.28
8/22/2018,6:06:54,2.3
8/22/2018,6:06:59,2.3
8/22/2018,6:07:04,2.3
8/22/2018,6:07:09,2.28
8/22/2018,6:07:14,2.3
8/22/2018,6:07:19,2.3
