"Plot Title: Pink"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20414841, SEN S/N: 20414841)","Temp, °C (LGR S/N: 20414841, SEN S/N: 20414841)"
1,09/25/18 06:00:00 PM,0.9,27.46
2,09/25/18 06:01:00 PM,0.9,27.72
3,09/25/18 06:02:00 PM,8.5,26.01
4,09/25/18 06:03:00 PM,310.3,22.17
5,09/25/18 06:04:00 PM,309.9,22.05
6,09/25/18 06:05:00 PM,309.6,22.04
7,09/25/18 06:06:00 PM,309.5,22.03
8,09/25/18 06:07:00 PM,309.3,22.02
9,09/25/18 06:08:00 PM,5.8,21.20
10,09/25/18 06:09:00 PM,152.4,21.18
11,09/25/18 06:10:00 PM,308.8,21.98
12,09/25/18 06:11:00 PM,308.7,21.97
13,09/25/18 06:12:00 PM,308.8,21.98
14,09/25/18 06:13:00 PM,308.8,21.97
15,09/25/18 06:14:00 PM,308.8,21.97
16,09/25/18 06:15:00 PM,308.7,21.97
17,09/25/18 06:16:00 PM,308.6,21.97
18,09/25/18 06:17:00 PM,308.8,21.97
19,09/25/18 06:18:00 PM,308.7,21.97
20,09/25/18 06:19:00 PM,308.6,21.97
21,09/25/18 06:20:00 PM,308.7,21.97
22,09/25/18 06:21:00 PM,308.6,21.96
23,09/25/18 06:22:00 PM,308.7,21.97
24,09/25/18 06:23:00 PM,308.7,21.96
25,09/25/18 06:24:00 PM,308.7,21.97
26,09/25/18 06:25:00 PM,308.6,21.96
27,09/25/18 06:26:00 PM,308.6,21.96
28,09/25/18 06:27:00 PM,308.6,21.96
29,09/25/18 06:28:00 PM,308.6,21.96
30,09/25/18 06:29:00 PM,308.6,21.96
31,09/25/18 06:30:00 PM,308.6,21.96
32,09/25/18 06:31:00 PM,308.6,21.95
33,09/25/18 06:32:00 PM,308.6,21.96
34,09/25/18 06:33:00 PM,308.6,21.95
35,09/25/18 06:34:00 PM,308.5,21.95
36,09/25/18 06:35:00 PM,308.6,21.94
37,09/25/18 06:36:00 PM,308.6,21.94
38,09/25/18 06:37:00 PM,308.6,21.94
39,09/25/18 06:38:00 PM,308.5,21.94
40,09/25/18 06:39:00 PM,308.5,21.92
41,09/25/18 06:40:00 PM,308.6,21.92
42,09/25/18 06:41:00 PM,308.6,21.92
43,09/25/18 06:42:00 PM,308.5,21.92
44,09/25/18 06:43:00 PM,308.4,21.92
45,09/25/18 06:44:00 PM,308.5,21.91
46,09/25/18 06:45:00 PM,308.4,21.92
47,09/25/18 06:46:00 PM,308.4,21.91
48,09/25/18 06:47:00 PM,308.4,21.91
49,09/25/18 06:48:00 PM,308.5,21.91
50,09/25/18 06:49:00 PM,308.4,21.90
51,09/25/18 06:50:00 PM,308.4,21.91
52,09/25/18 06:51:00 PM,308.4,21.90
53,09/25/18 06:52:00 PM,308.3,21.89
54,09/25/18 06:53:00 PM,308.3,21.89
55,09/25/18 06:54:00 PM,308.2,21.89
56,09/25/18 06:55:00 PM,308.3,21.89
57,09/25/18 06:56:00 PM,308.3,21.89
58,09/25/18 06:57:00 PM,308.2,21.88
59,09/25/18 06:58:00 PM,308.3,21.88
60,09/25/18 06:59:00 PM,308.2,21.87
61,09/25/18 07:00:00 PM,308.3,21.88
62,09/25/18 07:01:00 PM,308.2,21.87
63,09/25/18 07:02:00 PM,308.2,21.85
64,09/25/18 07:03:00 PM,308.2,21.85
65,09/25/18 07:04:00 PM,308.2,21.85
66,09/25/18 07:05:00 PM,308.2,21.85
67,09/25/18 07:06:00 PM,308.1,21.84
68,09/25/18 07:07:00 PM,308.2,21.84
69,09/25/18 07:08:00 PM,308.1,21.85
70,09/25/18 07:09:00 PM,308.0,21.83
