Date, Time, Low Range CO2 (SD), Low Range CO2 (ppm), Temp (C), Temp (SD), Hi Range CO2 (ppm), High Range CO2 (SD)
9/25/2018,19:24:32,1.1799117,0,23.22,1.839922,0,1.9482169
9/25/2018,19:24:36,1.1798397,1260.2,23.25,0.75810647,1129.8,0.80714965
9/25/2018,19:24:40,1.1797674,1310.48,23.28,1.3418742,1183.07,1.3280406
9/25/2018,19:24:44,1.1797313,1309.59,23.31,1.7487618,1182.11,1.5650896
9/25/2018,19:24:48,1.1796769,1308.27,23.34,1.7425948,1180.69,1.5572976
9/25/2018,19:24:52,1.1796407,1381.51,23.37,1.7374281,1258.7,1.5547142
9/25/2018,19:24:56,1.1795863,1380.16,23.4,1.735803,1257.24,1.5545892
9/25/2018,19:25:00,1.1795498,1379.26,23.43,1.7356781,1256.26,1.5556726
9/25/2018,19:25:04,1.1795133,1399.68,23.45,1.7357613,1278.07,1.5562977
9/25/2018,19:25:08,1.1794589,1394.36,23.48,1.7358862,1272.36,1.5568393
9/25/2018,19:25:12,1.1794224,1400.24,23.51,1.7360946,1278.64,1.5570475
9/25/2018,19:25:16,1.1793678,1398.88,23.54,1.7361364,1277.17,1.5572143
9/25/2018,19:25:20,1.1793312,1397.97,23.56,1.7362198,1276.17,1.5571727
9/25/2018,19:25:24,1.1792761,1390.06,23.59,1.7362614,1267.7,1.5570477
9/25/2018,19:25:28,1.1792214,1384.5,23.62,1.7363864,1261.74,1.5567976
9/25/2018,19:25:32,1.1791847,1374.49,23.65,1.7365113,1251.03,1.5565475
9/25/2018,19:25:36,1.179148,1366.58,23.67,1.7363864,1242.57,1.5560058
9/25/2018,19:25:40,1.1790928,1357.26,23.7,1.736178,1232.61,1.5554224
9/25/2018,19:25:44,1.179056,1349.13,23.73,1.7360946,1223.93,1.5547975
9/25/2018,19:25:48,1.1790009,1332.24,23.76,1.736053,1205.93,1.5540476
9/25/2018,19:25:52,1.1789457,1313.95,23.79,1.7359697,1186.46,1.5531725
9/25/2018,19:25:56,1.1789086,1301.01,23.81,1.7358446,1172.69,1.5521308
9/25/2018,19:26:00,1.1788533,1277.11,23.84,1.7358446,1147.33,1.5511307
9/25/2018,19:26:04,1.1788163,1255.57,23.87,1.7359281,1124.51,1.5501723
9/25/2018,19:26:08,1.1787609,1240.5,23.9,1.7356781,1108.58,1.5490891
9/25/2018,19:26:12,1.1787052,1226.27,23.93,1.7355113,1093.54,1.547964
9/25/2018,19:26:16,1.1786495,1198.13,23.96,1.7352613,1063.87,1.5467557
9/25/2018,19:26:20,1.1786125,1183.15,23.99,1.7353029,1048.12,1.545589
9/25/2018,19:26:24,1.1785566,1157.2,24.02,1.7352196,1020.89,1.5445472
9/25/2018,19:26:28,1.1785007,1142.12,24.05,1.7352196,1005.09,1.5435472
9/25/2018,19:26:32,1.1784635,1125.52,24.07,1.7350531,987.73,1.5427138
9/25/2018,19:26:36,1.1784074,1116.73,24.1,1.7351364,978.55,1.5417137
9/25/2018,19:26:40,1.1783701,1081.36,24.13,1.7350947,941.74,1.5407138
9/25/2018,19:26:44,1.178314,1070.4,24.16,1.7350531,930.36,1.5396304
9/25/2018,19:26:48,1.1782577,1057.24,24.19,1.7348447,916.71,1.5385886
9/25/2018,19:26:52,1.1782204,1032.27,24.22,1.7347612,890.9,1.5374637
9/25/2018,19:26:56,1.1781827,1011.55,24.25,1.7347612,869.54,1.5364219
9/25/2018,19:27:00,1.1781265,999.01,24.28,1.7345947,856.64,1.5353385
9/25/2018,19:27:04,1.1780699,979.41,24.31,1.734553,836.53,1.5345052
9/25/2018,19:27:08,1.1780323,966.18,24.33,1.734428,822.99,1.5334219
9/25/2018,19:27:12,1.1779758,944.5,24.36,1.734428,800.87,1.5326301
9/25/2018,19:27:16,1.177938,934.95,24.39,1.7343446,791.13,1.5319217
9/25/2018,19:27:20,1.1779002,930,24.42,1.7342614,786.09,1.5310885
9/25/2018,19:27:24,1.1778435,901.96,24.45,1.7342197,757.66,1.530255
9/25/2018,19:27:28,1.1778055,890.56,24.47,1.7339697,746.14,1.5290884
9/25/2018,19:27:32,1.1777678,877.92,24.5,1.7340113,733.39,1.5284218
9/25/2018,19:27:36,1.1777109,862.62,24.53,1.7337613,717.99,1.5275049
9/25/2018,19:27:40,1.1776729,851.67,24.56,1.7338032,706.99,1.5268383
9/25/2018,19:27:44,1.177635,838.75,24.58,1.7335948,694.06,1.5259633
9/25/2018,19:27:48,1.1775969,824.57,24.61,1.733678,679.9,1.52538
9/25/2018,19:27:52,1.1775588,815.46,24.63,1.7335113,670.82,1.5245882
9/25/2018,19:27:56,1.1775016,802.8,24.66,1.7336364,658.23,1.5240049
9/25/2018,19:28:00,1.1774633,786.27,24.68,1.7335529,641.85,1.5233799
9/25/2018,19:28:04,1.1774251,784.41,24.71,1.7337613,640,1.5229632
9/25/2018,19:28:08,1.1773869,769.79,24.73,1.7335113,625.57,1.5221715
9/25/2018,19:28:12,1.1773486,749.46,24.76,1.7335945,605.58,1.521588
9/25/2018,19:28:16,1.1773105,753.93,24.78,1.7333447,609.95,1.5207132
9/25/2018,19:28:20,1.177272,734.16,24.81,1.7332612,590.59,1.5201298
9/25/2018,19:28:24,1.1772336,725.2,24.83,1.7331363,581.83,1.519588
9/25/2018,19:28:28,1.1771952,725.7,24.86,1.7330531,582.31,1.5192547
9/25/2018,19:28:32,1.1771567,718.59,24.88,1.7332615,575.37,1.5188798
9/25/2018,19:28:36,1.1771183,696.07,24.9,1.7331365,553.51,1.5182964
9/25/2018,19:28:40,1.1770798,698.13,24.93,1.7331363,555.49,1.517588
9/25/2018,19:28:44,1.1770412,681.16,24.95,1.7330112,539.09,1.517213
9/25/2018,19:28:48,1.1770025,679.82,24.97,1.7330529,537.79,1.5167547
9/25/2018,19:28:52,1.1769639,670.95,25,1.7329279,529.24,1.5161713
9/25/2018,19:28:56,1.1769446,661.72,25.02,1.732803,520.38,1.5157131
9/25/2018,19:29:00,1.176906,654.43,25.04,1.7326781,513.39,1.5152963
9/25/2018,19:29:04,1.1768675,653.36,25.06,1.732803,512.35,1.5150462
9/25/2018,19:29:08,1.1768286,634.72,25.08,1.7327614,494.57,1.5145048
9/25/2018,19:29:12,1.1768093,633.8,25.1,1.7326781,493.69,1.514088
9/25/2018,19:29:16,1.1767703,634.53,25.12,1.7325946,494.37,1.5137547
9/25/2018,19:29:20,1.1767316,619.81,25.14,1.7325946,480.39,1.5134212
9/25/2018,19:29:24,1.1767122,615.3,25.16,1.7327198,476.12,1.5130463
9/25/2018,19:29:28,1.1766927,608.99,25.18,1.7326779,470.15,1.5127128
9/25/2018,19:29:32,1.1766539,603.56,25.2,1.7326363,465.02,1.5122962
9/25/2018,19:29:36,1.176615,594.55,25.22,1.7324696,456.54,1.511838
9/25/2018,19:29:40,1.1765954,591.58,25.24,1.732303,453.74,1.5114628
9/25/2018,19:29:44,1.1765563,590.25,25.26,1.732303,452.48,1.5111712
9/25/2018,19:29:48,1.1765176,578.23,25.28,1.732303,441.22,1.5108795
9/25/2018,19:29:52,1.1764979,575.26,25.3,1.7325114,438.45,1.5105462
9/25/2018,19:29:56,1.1764785,574.34,25.31,1.7323446,437.58,1.5103378
9/25/2018,19:30:00,1.1764394,562.62,25.33,1.7322613,426.65,1.5101296
9/25/2018,19:30:04,1.1764197,567.01,25.35,1.7319695,430.74,1.5099629
9/25/2018,19:30:08,1.1763805,565.68,25.37,1.7318445,429.48,1.5095878
9/25/2018,19:30:12,1.176361,545.02,25.38,1.7320946,410.33,1.5093794
9/25/2018,19:30:16,1.1763413,558.51,25.4,1.7321779,422.81,1.5090045
9/25/2018,19:30:20,1.1763216,542.65,25.41,1.7323862,408.13,1.5087961
9/25/2018,19:30:24,1.1762825,538.32,25.43,1.7321779,404.13,1.5084211
9/25/2018,19:30:28,1.176263,533.61,25.45,1.7321779,399.79,1.5081295
9/25/2018,19:30:32,1.1762433,531.18,25.46,1.7321362,397.56,1.5079627
9/25/2018,19:30:36,1.1762238,526.48,25.48,1.7320946,393.24,1.507671
9/25/2018,19:30:40,1.1761844,529.19,25.49,1.7320112,395.72,1.507671
9/25/2018,19:30:44,1.1761647,519.22,25.51,1.7319279,386.57,1.5073377
9/25/2018,19:30:48,1.1761451,516.54,25.52,1.7318863,384.12,1.5072126
9/25/2018,19:30:52,1.1761253,512.63,25.54,1.7320112,380.55,1.5070044
9/25/2018,19:30:56,1.1761055,513.72,25.55,1.7319695,381.53,1.5068378
9/25/2018,19:31:00,1.1760662,508.63,25.57,1.7319279,376.89,1.5066711
9/25/2018,19:31:04,1.1760465,506.22,25.58,1.7317196,374.68,1.5062543
9/25/2018,19:31:08,1.1760267,504.07,25.6,1.7317196,372.72,1.5060459
9/25/2018,19:31:12,1.1760067,497.37,25.61,1.7317613,366.64,1.5060459
9/25/2018,19:31:16,1.1759871,498.46,25.62,1.7319279,367.62,1.5060043
9/25/2018,19:31:20,1.1759675,489.07,25.64,1.7319695,359.12,1.5058378
9/25/2018,19:31:24,1.1759474,486.4,25.65,1.7318445,356.71,1.5053377
9/25/2018,19:31:28,1.1759279,486.01,25.66,1.7317613,356.34,1.5051708
9/25/2018,19:31:32,1.1759081,483.34,25.67,1.7317613,353.94,1.5052543
9/25/2018,19:31:36,1.1758882,482.42,25.69,1.7317613,353.1,1.5052543
9/25/2018,19:31:40,1.1758684,482.54,25.7,1.7317613,353.2,1.5051709
9/25/2018,19:31:44,1.1758485,481.61,25.71,1.7314695,352.36,1.5050875
9/25/2018,19:31:48,1.1758287,477.74,25.72,1.7313862,348.87,1.5050043
9/25/2018,19:31:52,1.1758088,484.03,25.73,1.7311779,354.53,1.5049626
9/25/2018,19:31:56,1.1757889,479.89,25.75,1.7311362,350.79,1.5046293
9/25/2018,19:32:00,1.1757692,480.71,25.76,1.7309279,351.52,1.5044627
9/25/2018,19:32:04,1.1757493,479.78,25.77,1.7308861,350.69,1.5042543
9/25/2018,19:32:08,1.1757295,474.17,25.78,1.7309694,345.64,1.5040876
9/25/2018,19:32:12,1.1757295,468.43,25.79,1.7310945,340.5,1.5038792
9/25/2018,19:32:16,1.1756897,468.84,25.81,1.7310113,340.85,1.5037127
9/25/2018,19:32:20,1.1756697,462.98,25.82,1.7310529,335.61,1.5033375
9/25/2018,19:32:24,1.1756697,451.29,25.83,1.7310945,325.2,1.5031294
9/25/2018,19:32:28,1.1756499,447.18,25.84,1.7310113,321.55,1.5027542
9/25/2018,19:32:32,1.17563,446.78,25.85,1.7308863,321.19,1.5026293
9/25/2018,19:32:36,1.17563,453.16,25.86,1.7307612,326.85,1.5026293
9/25/2018,19:32:40,1.1756101,452.76,25.87,1.7308445,326.49,1.502546
