Date, Time, Low Range CO2 (SD), Low Range CO2 (ppm), Temp (C), Temp (SD), Hi Range CO2 (ppm), High Range CO2 (SD)
9/27/2018,8:55:35,1.1891171,0,17.77,1.8740063,0,1.9703842
9/27/2018,8:55:39,1.1890152,3114.58,17.81,0.7664817,3139.24,0.83585888
9/27/2018,8:55:43,1.1889132,2878.01,17.85,1.3207904,2885.72,1.3542498
9/27/2018,8:55:47,1.1888402,2875.48,17.89,1.659759,2883,1.5584227
9/27/2018,8:55:51,1.188767,2872.94,17.93,1.6428418,2880.27,1.5275468
9/27/2018,8:55:55,1.1886938,2658.07,17.97,1.6289248,2648.12,1.506546
9/27/2018,8:55:59,1.1886206,2496.02,18.01,1.6224246,2472.14,1.492129
9/27/2018,8:56:03,1.1885616,2253.84,18.05,1.6202164,2208.18,1.4827954
9/27/2018,8:56:07,1.188488,2131.85,18.09,1.6206745,2074.99,1.4765034
9/27/2018,8:56:11,1.1884142,2021.66,18.13,1.6228412,1954.68,1.4730867
9/27/2018,8:56:15,1.1883551,1882.92,18.17,1.626258,1803.37,1.4690866
9/27/2018,8:56:19,1.1882958,1659.41,18.21,1.6301748,1560.49,1.4639615
9/27/2018,8:56:23,1.1882218,1461.18,18.25,1.6343832,1346.72,1.4579196
9/27/2018,8:56:27,1.1881624,1265.88,18.29,1.6386334,1138.57,1.4526277
9/27/2018,8:56:31,1.1880882,1106.46,18.33,1.6425501,971.2,1.4471693
9/27/2018,8:56:35,1.1880138,934.58,18.37,1.6460503,794.26,1.4420441
9/27/2018,8:56:39,1.1879541,795.71,18.41,1.6486753,654.75,1.436294
9/27/2018,8:56:43,1.1878943,658.11,18.45,1.6503005,520.44,1.4312938
9/27/2018,8:56:47,1.1878195,584.37,18.49,1.6508838,450.43,1.4260854
9/27/2018,8:56:51,1.1877596,490.39,18.53,1.6505089,363.65,1.4210852
9/27/2018,8:56:55,1.1876844,412.63,18.57,1.649592,294.29,1.4160017
9/27/2018,8:56:59,1.1876094,361.52,18.61,1.6482171,250.11,1.4108766
9/27/2018,8:57:03,1.1875492,289.15,18.65,1.6463836,189.88,1.4062929
9/27/2018,8:57:07,1.1874888,260.1,18.68,1.6445503,166.58,1.4015846
9/27/2018,8:57:11,1.1874133,204.87,18.72,1.642675,123.92,1.3977094
9/27/2018,8:57:15,1.1873529,176.25,18.76,1.6407169,102.8,1.394001
9/27/2018,8:57:19,1.187277,182.02,18.8,1.6389667,106.98,1.3920841
9/27/2018,8:57:23,1.1872164,180.91,18.84,1.6373416,106.17,1.3907509
9/27/2018,8:57:27,1.1871556,179.8,18.88,1.6357166,105.35,1.3915843
9/27/2018,8:57:31,1.1870795,261.17,18.92,1.6339666,167.35,1.393001
9/27/2018,8:57:35,1.1870185,318.12,18.96,1.6321748,213.53,1.3956261
9/27/2018,8:57:39,1.1869575,373.98,19,1.6307998,260.61,1.3978343
9/27/2018,8:57:43,1.1868811,426.15,19.04,1.6294247,305.97,1.3999594
9/27/2018,8:57:47,1.1868198,481.51,19.08,1.6280499,355.36,1.4021262
9/27/2018,8:57:51,1.1867585,542,19.12,1.6267163,410.65,1.4044596
9/27/2018,8:57:55,1.186697,603.64,19.15,1.6253413,468.24,1.4066263
9/27/2018,8:57:59,1.1866354,654.36,19.19,1.6240911,516.47,1.4088764
9/27/2018,8:58:03,1.1865584,715.56,19.23,1.6227579,575.56,1.4110432
9/27/2018,8:58:07,1.1864966,778.99,19.27,1.6217161,637.74,1.4134182
9/27/2018,8:58:11,1.1864501,829.43,19.3,1.6205078,687.81,1.4156684
9/27/2018,8:58:15,1.186373,894.01,19.34,1.6196746,752.62,1.4178349
9/27/2018,8:58:19,1.1863108,936.38,19.38,1.6187161,795.54,1.4198767
9/27/2018,8:58:23,1.1862643,987.49,19.42,1.6180077,847.71,1.4219185
9/27/2018,8:58:27,1.1862022,1041.73,19.45,1.6170079,903.49,1.4240851
9/27/2018,8:58:31,1.1861399,1107.49,19.49,1.6161743,971.66,1.426127
9/27/2018,8:58:35,1.1860776,1143.9,19.52,1.6153827,1009.62,1.4279188
9/27/2018,8:58:39,1.1860151,1182.71,19.56,1.6147994,1050.26,1.4297937
9/27/2018,8:58:43,1.1859682,1244.51,19.6,1.6141742,1115.31,1.4317104
9/27/2018,8:58:47,1.1859058,1286.52,19.63,1.6136327,1159.73,1.4336271
9/27/2018,8:58:51,1.1858429,1321.82,19.67,1.6130077,1197.18,1.4357939
9/27/2018,8:58:55,1.1857958,1395.85,19.7,1.6127577,1276.06,1.4374189
9/27/2018,8:58:59,1.185733,1403.38,19.73,1.6121744,1284.09,1.439044
9/27/2018,8:59:03,1.1856858,1448.95,19.77,1.6117576,1332.88,1.440169
9/27/2018,8:59:07,1.1856385,1493.4,19.8,1.6111742,1380.59,1.4418358
9/27/2018,8:59:11,1.1855755,1525.54,19.83,1.6107159,1415.15,1.4433775
9/27/2018,8:59:15,1.185528,1566.56,19.86,1.6105493,1459.36,1.4450859
9/27/2018,8:59:19,1.1854806,1605.83,19.9,1.6102158,1501.76,1.4466276
9/27/2018,8:59:23,1.1854174,1637.45,19.93,1.6101326,1535.96,1.4484192
9/27/2018,8:59:27,1.18537,1680.86,19.96,1.6099242,1582.97,1.4498777
9/27/2018,8:59:31,1.1853222,1706.57,19.99,1.6098408,1610.84,1.4515444
9/27/2018,8:59:35,1.1852746,1745.31,20.02,1.6098825,1652.9,1.4529611
9/27/2018,8:59:39,1.1852269,1765.86,20.05,1.609799,1675.22,1.4545861
9/27/2018,8:59:43,1.1851792,1812.84,20.08,1.6097993,1726.31,1.4560446
9/27/2018,8:59:47,1.1851312,1836.31,20.11,1.6099243,1751.85,1.4574195
9/27/2018,8:59:51,1.1850834,1844.22,20.14,1.6099243,1760.45,1.4586697
9/27/2018,8:59:55,1.1850353,1890.96,20.17,1.6098825,1811.38,1.4599196
9/27/2018,8:59:59,1.1849874,1917.2,20.2,1.6097158,1839.98,1.4611279
9/27/2018,9:00:03,1.1849393,1929.93,20.22,1.609799,1853.86,1.462128
9/27/2018,9:00:07,1.1849073,1948.7,20.25,1.6100909,1874.32,1.4628781
9/27/2018,9:00:11,1.1848593,1945.83,20.28,1.6102576,1871.18,1.4639615
9/27/2018,9:00:15,1.1848112,1988.48,20.31,1.6103826,1917.72,1.4648365
9/27/2018,9:00:19,1.1847789,1995.94,20.33,1.6105075,1925.85,1.4657947
9/27/2018,9:00:23,1.1847305,1998.6,20.36,1.6107992,1928.75,1.4665865
9/27/2018,9:00:27,1.1846823,2017.56,20.38,1.6111326,1949.44,1.4672532
9/27/2018,9:00:31,1.1846499,2019.18,20.41,1.6112992,1951.21,1.4679198
9/27/2018,9:00:35,1.1846015,2029.51,20.44,1.6115075,1962.47,1.4683782
9/27/2018,9:00:39,1.1845694,2034.94,20.46,1.611591,1968.4,1.4688783
9/27/2018,9:00:43,1.184521,2041.48,20.49,1.6118827,1975.52,1.469503
9/27/2018,9:00:47,1.1844885,2047.9,20.51,1.6120909,1982.53,1.4699198
9/27/2018,9:00:51,1.184456,2049.52,20.53,1.6125493,1984.3,1.4705449
9/27/2018,9:00:55,1.1844074,2046.3,20.56,1.6127161,1980.77,1.4706699
9/27/2018,9:00:59,1.184375,2051.24,20.58,1.613091,1986.15,1.4710032
9/27/2018,9:01:03,1.1843263,2042.64,20.6,1.613341,1976.75,1.4711699
9/27/2018,9:01:07,1.1842937,2044.76,20.63,1.6135492,1979.06,1.4715867
9/27/2018,9:01:11,1.1842612,2057.37,20.65,1.6137576,1992.83,1.4718784
9/27/2018,9:01:15,1.1842288,2046.68,20.67,1.6142577,1981.14,1.4721284
9/27/2018,9:01:19,1.1841961,2028.11,20.69,1.6147994,1960.85,1.4723783
9/27/2018,9:01:23,1.1841471,2032.29,20.72,1.6151327,1965.41,1.4725866
9/27/2018,9:01:27,1.1841308,2037.17,20.74,1.6151327,1970.73,1.4726701
9/27/2018,9:01:31,1.1840818,2036.01,20.76,1.6154243,1969.46,1.472795
9/27/2018,9:01:35,1.184049,2025.36,20.78,1.6156327,1957.82,1.4729618
9/27/2018,9:01:39,1.1840163,2032.56,20.8,1.6159662,1965.68,1.4733783
9/27/2018,9:01:43,1.1839836,2007.19,20.82,1.6162995,1937.96,1.4736284
9/27/2018,9:01:47,1.1839508,2018.94,20.84,1.6168827,1950.79,1.4737951
