Date, Time, Voltage
9/27/2018,8:52:57,2.31
9/27/2018,8:53:02,2.31
9/27/2018,8:53:07,2.31
9/27/2018,8:53:12,2.3
9/27/2018,8:53:17,2.31
9/27/2018,8:53:22,2.31
9/27/2018,8:53:27,2.31
9/27/2018,8:53:32,2.31
9/27/2018,8:53:37,2.31
9/27/2018,8:53:42,2.31
9/27/2018,8:53:47,2.31
9/27/2018,8:53:52,2.31
9/27/2018,8:53:57,2.31
9/27/2018,8:54:02,2.31
9/27/2018,8:54:07,2.31
9/27/2018,8:54:12,2.31
9/27/2018,8:54:17,2.31
9/27/2018,8:54:22,2.31
9/27/2018,8:54:27,2.31
9/27/2018,8:54:32,2.31
9/27/2018,8:54:37,2.31
9/27/2018,8:54:42,2.31
9/27/2018,8:54:47,2.31
9/27/2018,8:54:52,2.31
9/27/2018,8:54:57,2.31
9/27/2018,8:55:02,2.31
9/27/2018,8:55:07,2.31
9/27/2018,8:55:12,2.31
9/27/2018,8:55:17,2.31
9/27/2018,8:55:22,2.31
9/27/2018,8:55:27,2.31
9/27/2018,8:55:32,2.31
9/27/2018,8:55:37,2.31
9/27/2018,8:55:42,2.31
9/27/2018,8:55:47,2.31
9/27/2018,8:55:52,2.31
9/27/2018,8:55:57,2.31
9/27/2018,8:56:02,2.31
9/27/2018,8:56:07,2.31
9/27/2018,8:56:12,2.31
9/27/2018,8:56:17,2.31
9/27/2018,8:56:22,2.31
9/27/2018,8:56:27,2.31
9/27/2018,8:56:32,2.31
9/27/2018,8:56:37,2.31
9/27/2018,8:56:42,2.31
9/27/2018,8:56:47,2.31
9/27/2018,8:56:52,2.31
9/27/2018,8:56:57,2.31
9/27/2018,8:57:02,2.31
9/27/2018,8:57:07,2.31
9/27/2018,8:57:12,2.31
9/27/2018,8:57:17,2.31
9/27/2018,8:57:22,2.31
9/27/2018,8:57:27,2.31
9/27/2018,8:57:32,2.31
9/27/2018,8:57:37,2.31
9/27/2018,8:57:42,2.31
9/27/2018,8:57:47,2.31
9/27/2018,8:57:52,2.31
9/27/2018,8:57:57,2.31
9/27/2018,8:58:02,2.31
9/27/2018,8:58:07,2.31
9/27/2018,8:58:12,2.31
9/27/2018,8:58:17,2.31
9/27/2018,8:58:22,2.31
9/27/2018,8:58:27,2.31
9/27/2018,8:58:32,2.31
9/27/2018,8:58:37,2.31
9/27/2018,8:58:42,2.31
9/27/2018,8:58:47,2.31
9/27/2018,8:58:52,2.31
9/27/2018,8:58:57,2.31
9/27/2018,8:59:02,2.31
9/27/2018,8:59:07,2.31
9/27/2018,8:59:12,2.31
9/27/2018,8:59:17,2.31
9/27/2018,8:59:22,2.31
9/27/2018,8:59:27,2.31
9/27/2018,8:59:32,2.31
9/27/2018,8:59:37,2.31
9/27/2018,8:59:42,2.31
9/27/2018,8:59:47,2.31
9/27/2018,8:59:52,2.31
9/27/2018,8:59:57,2.31
9/27/2018,9:00:02,2.31
9/27/2018,9:00:07,2.31
9/27/2018,9:00:12,2.31
9/27/2018,9:00:17,2.31
9/27/2018,9:00:22,2.31
9/27/2018,9:00:27,2.31
9/27/2018,9:00:32,2.31
9/27/2018,9:00:37,2.31
9/27/2018,9:00:42,2.31
9/27/2018,9:00:47,2.31
9/27/2018,9:00:52,2.31
9/27/2018,9:00:57,2.31
9/27/2018,9:01:02,2.31
9/27/2018,9:01:07,2.31
9/27/2018,9:01:12,2.31
9/27/2018,9:01:17,2.31
9/27/2018,9:01:22,2.31
9/27/2018,9:01:27,2.31
9/27/2018,9:01:32,2.31
9/27/2018,9:01:37,2.31
9/27/2018,9:01:42,2.31
9/27/2018,9:01:47,2.31
9/27/2018,9:01:52,2.31
9/27/2018,9:01:57,2.31
9/27/2018,9:02:02,2.31
9/27/2018,9:02:07,2.31
9/27/2018,9:02:12,2.31
9/27/2018,9:02:17,2.31
9/27/2018,9:02:22,2.31
9/27/2018,9:02:27,2.31
9/27/2018,9:02:32,2.31
9/27/2018,9:02:37,2.31
9/27/2018,9:02:42,2.31
9/27/2018,9:02:47,2.31
9/27/2018,9:02:52,2.31
9/27/2018,9:02:57,2.31
9/27/2018,9:03:02,2.31
9/27/2018,9:03:07,2.31
9/27/2018,9:03:12,2.31
9/27/2018,9:03:17,2.31
9/27/2018,9:03:22,2.31
9/27/2018,9:03:27,2.31
9/27/2018,9:03:32,2.31
9/27/2018,9:03:37,2.31
9/27/2018,9:03:42,2.31
9/27/2018,9:03:47,2.31
9/27/2018,9:03:52,2.31
9/27/2018,9:03:57,2.31
9/27/2018,9:04:02,2.31
9/27/2018,9:04:07,2.31
9/27/2018,9:04:12,2.31
9/27/2018,9:04:17,2.31
9/27/2018,9:04:22,2.31
9/27/2018,9:04:27,2.31
9/27/2018,9:04:32,2.31
9/27/2018,9:04:37,2.31
9/27/2018,9:04:42,2.31
9/27/2018,9:04:47,2.31
9/27/2018,9:04:52,2.31
9/27/2018,9:04:57,2.31
9/27/2018,9:05:02,2.31
9/27/2018,9:05:07,2.31
9/27/2018,9:05:12,2.31
9/27/2018,9:05:17,2.31
9/27/2018,9:05:22,2.31
9/27/2018,9:05:27,2.31
9/27/2018,9:05:32,2.31
9/27/2018,9:05:37,2.31
9/27/2018,9:05:42,2.31
9/27/2018,9:05:47,2.31
9/27/2018,9:05:52,2.31
9/27/2018,9:05:57,2.31
9/27/2018,9:06:02,2.31
9/27/2018,9:06:07,2.31
9/27/2018,9:06:12,2.31
9/27/2018,9:06:17,2.31
9/27/2018,9:06:22,2.31
9/27/2018,9:06:27,2.31
9/27/2018,9:06:32,2.31
9/27/2018,9:06:37,2.31
9/27/2018,9:06:42,2.31
9/27/2018,9:06:47,2.31
9/27/2018,9:06:52,2.31
9/27/2018,9:06:57,2.31
9/27/2018,9:07:02,2.31
9/27/2018,9:07:07,2.31
9/27/2018,9:07:12,2.31
9/27/2018,9:07:17,2.31
9/27/2018,9:07:22,2.31
9/27/2018,9:07:27,2.31
9/27/2018,9:07:32,2.31
9/27/2018,9:07:37,2.31
9/27/2018,9:07:42,2.31
9/27/2018,9:07:47,2.31
9/27/2018,9:07:52,2.31
9/27/2018,9:07:57,2.31
9/27/2018,9:08:02,2.31
9/27/2018,9:08:07,2.31
9/27/2018,9:08:12,2.31
9/27/2018,9:08:17,2.31
9/27/2018,9:08:22,2.31
9/27/2018,9:08:27,2.31
9/27/2018,9:08:32,2.31
9/27/2018,9:08:37,2.31
9/27/2018,9:08:42,2.31
9/27/2018,9:08:47,2.31
9/27/2018,9:08:52,2.31
9/27/2018,9:08:57,2.31
9/27/2018,9:09:02,2.31
9/27/2018,9:09:07,2.31
9/27/2018,9:09:12,2.31
9/27/2018,9:09:17,2.31
9/27/2018,9:09:22,2.31
9/27/2018,9:09:27,2.31
9/27/2018,9:09:32,2.31
9/27/2018,9:09:37,2.31
9/27/2018,9:09:42,2.31
9/27/2018,9:09:47,2.31
9/27/2018,9:09:52,2.31
9/27/2018,9:09:57,2.31
9/27/2018,9:10:02,2.31
9/27/2018,9:10:07,2.31
9/27/2018,9:10:12,2.31
9/27/2018,9:10:17,2.31
9/27/2018,9:10:22,2.31
9/27/2018,9:10:27,2.31
9/27/2018,9:10:32,2.31
9/27/2018,9:10:37,2.31
9/27/2018,9:10:42,2.31
9/27/2018,9:10:47,2.31
9/27/2018,9:10:52,2.31
9/27/2018,9:10:57,2.31
9/27/2018,9:11:02,2.31
9/27/2018,9:11:07,2.31
9/27/2018,9:11:12,2.31
9/27/2018,9:11:17,2.31
9/27/2018,9:11:22,2.31
9/27/2018,9:11:27,2.31
9/27/2018,9:11:32,2.31
9/27/2018,9:11:37,2.31
9/27/2018,9:11:42,2.31
9/27/2018,9:11:47,2.31
9/27/2018,9:11:52,2.31
9/27/2018,9:11:57,2.31
9/27/2018,9:12:02,2.31
9/27/2018,9:12:07,2.31
9/27/2018,9:12:12,2.31
9/27/2018,9:12:17,2.31
9/27/2018,9:12:22,2.31
9/27/2018,9:12:27,2.31
9/27/2018,9:12:32,2.31
9/27/2018,9:12:37,2.31
9/27/2018,9:12:42,2.31
9/27/2018,9:12:47,2.31
9/27/2018,9:12:52,2.31
9/27/2018,9:12:57,2.31
9/27/2018,9:13:02,2.31
9/27/2018,9:13:07,2.31
9/27/2018,9:13:12,2.31
9/27/2018,9:13:17,2.31
9/27/2018,9:13:22,2.31
9/27/2018,9:13:27,2.31
9/27/2018,9:13:32,2.31
9/27/2018,9:13:37,2.31
9/27/2018,9:13:42,2.31
9/27/2018,9:13:47,2.31
9/27/2018,9:13:52,2.31
9/27/2018,9:13:57,2.31
9/27/2018,9:14:02,2.31
9/27/2018,9:14:07,2.31
9/27/2018,9:14:12,2.31
9/27/2018,9:14:17,2.31
9/27/2018,9:14:22,2.31
9/27/2018,9:14:27,2.31
9/27/2018,9:14:32,2.31
9/27/2018,9:14:37,2.31
9/27/2018,9:14:42,2.31
9/27/2018,9:14:47,2.31
9/27/2018,9:14:52,2.31
9/27/2018,9:14:57,2.31
9/27/2018,9:15:02,2.31
9/27/2018,9:15:07,2.31
9/27/2018,9:15:12,2.31
9/27/2018,9:15:17,2.31
9/27/2018,9:15:22,2.31
9/27/2018,9:15:27,2.31
9/27/2018,9:15:32,2.31
9/27/2018,9:15:37,2.31
9/27/2018,9:15:42,2.31
9/27/2018,9:15:47,2.31
9/27/2018,9:15:52,2.31
9/27/2018,9:15:57,2.31
9/27/2018,9:16:02,2.31
9/27/2018,9:16:07,2.31
9/27/2018,9:16:12,2.31
9/27/2018,9:16:17,2.31
9/27/2018,9:16:22,2.31
9/27/2018,9:16:27,2.31
9/27/2018,9:16:32,2.31
