"","Sample.ID","HS.pCO2.before","HS.pCO2.after","Temp.insitu","Temp.equil","Alkalinity.measured","Volume.gas","Volume.water","Bar.pressure","Constants","Salinity"
"46","Beaver_830_1000",0,574.5204454,8.69,8.69,NA,70,40,89.2991043,1,0
"64","Beaver_830_1000",0,578.55959,8.69,8.69,NA,70,40,89.2991043,1,0
"66","Beaver_830_1000",0,564.6225975,8.69,8.69,NA,70,40,89.2991043,1,0
"48","Beaver_830_1200",0,520.5422185,10.77,10.77,1500,70,40,89.2652404,1,0
"60","Beaver_830_1200",0,503.4101985,10.77,10.77,1500,70,40,89.2652404,1,0
"77","Beaver_830_1200",0,495.8164877,10.77,10.77,1500,70,40,89.2652404,1,0
"47","Beaver_830_1400",0,487.3991988,12.93,12.93,1520,70,40,89.2652404,1,0
"63","Beaver_830_1400",0,471.5386503,12.93,12.93,1520,70,40,89.2652404,1,0
"74","Beaver_830_1400",0,455.553038,12.93,12.93,1520,70,40,89.2652404,1,0
"51","Beaver_830_1600",0,412.0482583,14.16,14.16,1560,70,40,89.2652404,1,0
"61","Beaver_830_1600",0,405.1038969,14.16,14.16,1560,70,40,89.2652404,1,0
"72","Beaver_830_1600",0,422.0209144,14.16,14.16,1560,70,40,89.2652404,1,0
"44","Beaver_830_1800",0,385.5450113,12.77,12.77,1520,70,40,89.2313765,1,0
"57","Beaver_830_1800",0,390.0389722,12.77,12.77,1520,70,40,89.2313765,1,0
"68","Beaver_830_1800",0,403.9459854,12.77,12.77,1520,70,40,89.2313765,1,0
"42","Beaver_830_2000",0,513.4503874,10.17,10.17,NA,70,40,89.2991043,1,0
"59","Beaver_830_2000",0,516.5093714,10.17,10.17,NA,70,40,89.2991043,1,0
"67","Beaver_830_2000",0,512.2469873,10.17,10.17,NA,70,40,89.2991043,1,0
"49","Beaver_830_2200",0,687.086489,9.13,9.13,NA,70,40,89.4345599,1,0
"53","Beaver_830_2200",0,670.116289,9.13,9.13,NA,70,40,89.4345599,1,0
"71","Beaver_830_2200",0,662.134662,9.13,9.13,NA,70,40,89.4345599,1,0
"40","Beaver_830_0600",0,881.1814021,7.68,7.68,NA,70,40,89.1975126,1,0
"56","Beaver_830_0600",0,784.4880569,7.68,7.68,NA,70,40,89.1975126,1,0
"73","Beaver_830_0600",0,761.9661982,7.68,7.68,NA,70,40,89.1975126,1,0
"45","Beaver_830_0800",0,763.22298,7.76,7.76,1460,70,40,89.2652404,1,0
"55","Beaver_830_0800",0,757.5221306,7.76,7.76,1460,70,40,89.2652404,1,0
"76","Beaver_830_0800",0,738.9062751,7.76,7.76,1460,70,40,89.2652404,1,0
"50","Beaver_831_0000",0,742.7963305,8.33,8.33,1440,70,40,89.5022877,1,0
"62","Beaver_831_0000",0,754.85221,8.33,8.33,1440,70,40,89.5022877,1,0
"75","Beaver_831_0000",0,787.3156023,8.33,8.33,1440,70,40,89.5022877,1,0
"39","Beaver_831_0200",0,747.7467992,7.88,7.88,1440,70,40,89.5700155,1,0
"54","Beaver_831_0200",0,742.3729104,7.88,7.88,1440,70,40,89.5700155,1,0
"70","Beaver_831_0200",0,772.3082757,7.88,7.88,1440,70,40,89.5700155,1,0
"43","Beaver_831_0400",0,757.9853242,7.62,7.62,1450,70,40,89.6038794,1,0
"58","Beaver_831_0400",0,752.9999762,7.62,7.62,1450,70,40,89.6038794,1,0
"69","Beaver_831_0400",0,771.2353602,7.62,7.62,1450,70,40,89.6038794,1,0
"41","Beaver_831_0600",0,783.0614506,7.67,7.67,1450,70,40,89.5700155,1,0
"52","Beaver_831_0600",0,800.0039136,7.67,7.67,1450,70,40,89.5700155,1,0
"65","Beaver_831_0600",0,787.6600897,7.67,7.67,1450,70,40,89.5700155,1,0
"11","Blaine_822_1000",0,835.967147747222,14.11,14.11,NA,70,40,91.2632105,1,0
"21","Blaine_822_1000",0,784.204211181486,14.11,14.11,NA,70,40,91.2632105,1,0
"26","Blaine_822_1000",0,800.696092099306,14.11,14.11,NA,70,40,91.2632105,1,0
"5","Blaine_822_1200",0,740.003082631667,16.14,16.14,1500,70,40,91.1616188,1,0
"18","Blaine_822_1200",0,731.898996817143,16.14,16.14,1500,70,40,91.1616188,1,0
"29","Blaine_822_1200",0,695.967542827297,16.14,16.14,1500,70,40,91.1616188,1,0
"4","Blaine_822_1400",0,743.424846185417,18.26,18.26,NA,70,40,90.9922993,1,0
"25","Blaine_822_1400",0,650.223832270278,18.26,18.26,NA,70,40,90.9922993,1,0
"32","Blaine_822_1400",0,855.409072638784,18.26,18.26,NA,70,40,90.9922993,1,0
"1","Blaine_822_1600",0,644.406283759595,19.71,19.71,1550,70,40,90.7891159,1,0
"14","Blaine_822_1600",0,636.121438001095,19.71,19.71,1550,70,40,90.7891159,1,0
"27","Blaine_822_1600",0,604.025056191806,19.71,19.71,1550,70,40,90.7891159,1,0
"2","Blaine_822_1800",0,651.054143079815,19.86,19.86,1560,70,40,90.6536603,1,0
"15","Blaine_822_1800",0,599.431955780946,19.86,19.86,1560,70,40,90.6536603,1,0
"28","Blaine_822_1800",0,636.127138820238,19.86,19.86,1560,70,40,90.6536603,1,0
"6","Blaine_822_2000",0,595.151786010333,18.86,18.86,1540,70,40,90.5859325,1,0
"22","Blaine_822_2000",0,568.845024102361,18.86,18.86,1540,70,40,90.5859325,1,0
"30","Blaine_822_2000",0,577.896662462361,18.86,18.86,1540,70,40,90.5859325,1,0
"7","Blaine_822_2200",0,714.242918185417,17.48,17.48,1550,70,40,90.6197964,1,0
"20","Blaine_822_2200",0,704.974693336389,17.48,17.48,1550,70,40,90.6197964,1,0
"35","Blaine_822_2200",0,717.177968899861,17.48,17.48,1550,70,40,90.6197964,1,0
"13","Blaine_822_0600",0,834.082028755676,14.12,14.12,1490,70,40,91.3986661,1,0
"24","Blaine_822_0600",0,880.192943506343,14.12,14.12,1490,70,40,91.3986661,1,0
"37","Blaine_822_0600",0,885.9733167325,14.12,14.12,1490,70,40,91.3986661,1,0
"12","Blaine_822_0800",0,850.302420887571,13.64,13.64,NA,70,40,91.3986661,1,0
"23","Blaine_822_0800",0,835.772620335417,13.64,13.64,NA,70,40,91.3986661,1,0
"38","Blaine_822_0800",0,865.341853986905,13.64,13.64,NA,70,40,91.3986661,1,0
"3","Blaine_823_0000",0,891.775523203426,16.35,16.35,NA,70,40,90.6875242,1,0
"16","Blaine_823_0000",0,901.296976992778,16.35,16.35,NA,70,40,90.6875242,1,0
"34","Blaine_823_0000",0,876.022806191944,16.35,16.35,NA,70,40,90.6875242,1,0
