"","Site","Date","Time","CO2","WaterTemp_C","H2O_mL","air_mL","Baro_inHg","pH","Alk_mgLCaCO3","Sample.ID","DateTime","HS.pCO2.before","HS.pCO2.after","Temp.insitu","Temp.equil","Alkalinity.measured","Volume.gas","Volume.water","Constants","Bar.pressure","Salinity"
"46","Beaver","2018-08-30","10:00",574.5204454,8.69,40,70,26.37,8.11,NA,"Beaver_830_1000",2018-08-30 10:00:00,0,574.5204454,8.69,8.69,NA,70,40,1,89.2991043,0
"64","Beaver","2018-08-30","10:00",578.55959,8.69,40,70,26.37,8.11,NA,"Beaver_830_1000",2018-08-30 10:00:00,0,578.55959,8.69,8.69,NA,70,40,1,89.2991043,0
"66","Beaver","2018-08-30","10:00",564.6225975,8.69,40,70,26.37,8.11,NA,"Beaver_830_1000",2018-08-30 10:00:00,0,564.6225975,8.69,8.69,NA,70,40,1,89.2991043,0
"48","Beaver","2018-08-30","12:00",520.5422185,10.77,40,70,26.36,8.25,150,"Beaver_830_1200",2018-08-30 12:00:00,0,520.5422185,10.77,10.77,1500,70,40,1,89.2652404,0
"60","Beaver","2018-08-30","12:00",503.4101985,10.77,40,70,26.36,8.25,150,"Beaver_830_1200",2018-08-30 12:00:00,0,503.4101985,10.77,10.77,1500,70,40,1,89.2652404,0
"77","Beaver","2018-08-30","12:00",495.8164877,10.77,40,70,26.36,8.25,150,"Beaver_830_1200",2018-08-30 12:00:00,0,495.8164877,10.77,10.77,1500,70,40,1,89.2652404,0
"47","Beaver","2018-08-30","14:00",487.3991988,12.93,40,70,26.36,8.28,152,"Beaver_830_1400",2018-08-30 14:00:00,0,487.3991988,12.93,12.93,1520,70,40,1,89.2652404,0
"63","Beaver","2018-08-30","14:00",471.5386503,12.93,40,70,26.36,8.28,152,"Beaver_830_1400",2018-08-30 14:00:00,0,471.5386503,12.93,12.93,1520,70,40,1,89.2652404,0
"74","Beaver","2018-08-30","14:00",455.553038,12.93,40,70,26.36,8.28,152,"Beaver_830_1400",2018-08-30 14:00:00,0,455.553038,12.93,12.93,1520,70,40,1,89.2652404,0
"51","Beaver","2018-08-30","16:00",412.0482583,14.16,40,70,26.36,8.4,156,"Beaver_830_1600",2018-08-30 16:00:00,0,412.0482583,14.16,14.16,1560,70,40,1,89.2652404,0
"61","Beaver","2018-08-30","16:00",405.1038969,14.16,40,70,26.36,8.4,156,"Beaver_830_1600",2018-08-30 16:00:00,0,405.1038969,14.16,14.16,1560,70,40,1,89.2652404,0
"72","Beaver","2018-08-30","16:00",422.0209144,14.16,40,70,26.36,8.4,156,"Beaver_830_1600",2018-08-30 16:00:00,0,422.0209144,14.16,14.16,1560,70,40,1,89.2652404,0
"44","Beaver","2018-08-30","18:00",385.5450113,12.77,40,70,26.35,8.36,152,"Beaver_830_1800",2018-08-30 18:00:00,0,385.5450113,12.77,12.77,1520,70,40,1,89.2313765,0
"57","Beaver","2018-08-30","18:00",390.0389722,12.77,40,70,26.35,8.36,152,"Beaver_830_1800",2018-08-30 18:00:00,0,390.0389722,12.77,12.77,1520,70,40,1,89.2313765,0
"68","Beaver","2018-08-30","18:00",403.9459854,12.77,40,70,26.35,8.36,152,"Beaver_830_1800",2018-08-30 18:00:00,0,403.9459854,12.77,12.77,1520,70,40,1,89.2313765,0
"42","Beaver","2018-08-30","20:00",513.4503874,10.17,40,70,26.37,8.17,NA,"Beaver_830_2000",2018-08-30 20:00:00,0,513.4503874,10.17,10.17,NA,70,40,1,89.2991043,0
"59","Beaver","2018-08-30","20:00",516.5093714,10.17,40,70,26.37,8.17,NA,"Beaver_830_2000",2018-08-30 20:00:00,0,516.5093714,10.17,10.17,NA,70,40,1,89.2991043,0
